ID,Program of Study,Gender,Nationality,Place of Birth,My current semester is:,Father's Education,Mother's Education,Parental Income,Any close family member with the same profession available for guidance,Availing any scholarship,I opted for this program of study because of my own interest.,Basic Education Stream,Intermediate Stream,Matric Percentage ,Intermediate Percentage ,SGPA in BS First semester ,SGPA in BS Second semester ,PredictedSGPA of BS Third semester ,Predicted Grade (based on SGPA) of 3rd semester,PredictedCGPA of BS third sem.,Predicted Grade (based on CGPA) of 3rd semester,I understand the lecture more clearly if delivered in:,I understand the lecture more clearly if delivered on:,I understand the lecture more clearly if my sitting place is in:,I understand the lecture more clearly if the duration is:,I understand the lecture more clearly if delivered by:,I understand the lecture more clearly if the number of students in classroom are:,I understand the lecture more clearly if:,Lecture attendance has a positive effect on my academic performance.,TVFs often reschedule classes that negatively impacts my performance.,TVFs are very difficult to access after class timings and hence I am unable to clarify my concepts.,TVFs do not provide assessment results timely so I remain unaware of my standing in class.,TVFs are not aware of the university's curriculum and other requirements.,TVFs grade students according to their own beliefs and criteria and hence my GPA suffers.,TVFs are not very well prepared for the lectures due to their busy schedule.,TVFs have short-term relations with students and hence do not show sincere behavior to polish my academic skills. ,What is your residence place?,An ample amount of time is consumed on daily commuting and all energy is drained during travelling.,"Due to class/ lab cancellation or roads blockage, lots of time get wasted due to fixed official transport timings.",Hostelite can be more focused towards their studies whereas a day scholar may have a lot of distractions due to family issues.,"Hostelites have more opportunities to engage with their peers and participate in social events, that improve their performance.","Hostelites have better access to campus resources like libraries, instructors, labs and also get benefit of group study. ",Hostelites have a big social circle and connections with seniors who can guide them in studies and in other academic and administrative issues.,Un-announced quizzes are quite stressful and cause unnecessary anxiety and pressure on students.,Un-announced quizzes are a form of torture and have negative impact on learning environment.,I am not usually prepared for surprise quizzes and hence these are not true measures of my knowledge and understandings.,Un-announced quizzes are a waste of time and energy and are not effective and productive in the long term.,I cannot miss a single class despite my health or any other emergency situations due to unannounced quizzes as it badly effects my grade.,"I usually do not perform very well in surprise quizzes, hence lose my interest in the subject.","Due to overall academic workload, it is not possible to study/ practice each subject on daily basis, to prepare myself for unannounced quizzes.",Class Representative (CR) is favored more than any ordinary student as he/ she is in more contact with teachers.,"If a student is more active in class, then it is more likely that the teacher would be lenient during his/ her exam checking. ","Some teachers show more kindness towards female students, and it is clearly reflected in their grades. ",Preferential treatment with selective students creates a negative classroom environment and affects the learning experience. ,Discrimination distracts me from focusing on the course and I lose interest in attending the classes. ,"Discrimination negatively effects my mental condition, confidence, and overall engagement in the classroom. ",A proper classroom environment and discipline is not possible to maintain in online environment.,"Due to lack of technical expertise, senior instructors struggle a lot in online lectures, and I lose my interest.",It is difficult to convey complex concepts in online mode and hence quality of education suffers.,"It becomes a hobby to watch recorded lectures later on, so I try to cover a lot of content in a short time that becomes difficult to absorb.",I am easily distracted by social media and other sources of interruptions during online lectures.,"It reduces social interaction that results in a feeling of isolation, and I lose interest in studies.","It is easier for students to cheat in online exams, leading to academic dishonesty and hence I lose my motivation.",Lack of technical resources create disruptions during lectures and make it difficult to understand. ,I prefer to revise the lectures daily or before the next class of the same subject.,I frequently make use of You tube or Chat GPT for understanding of different concepts.,I enjoy and perform well in non-technical (Humanities/ Management/ Social Science) courses.,I am usually well prepared for exams but unable to attempt properly due to exam stress.,Instructors often miss lectures and arrange makeup classes that further increases my burden.,My classes schedule is usually very tight that hinders the process of learning.,I often come across health issues that effect my academic performance.,My preferable mode of study is:,My preferable time of study is:,My overall mobile usage (daily) for non-academic purpose is limited to:,
11,Bio-Sciences,Male,Pakistani,Punjab,7th,Below Matric,Below Matric,Below 30K,NO,YES,2,Matric,FSc/ ICS,62,70,2.57,2.37,2.49,D,2.47,D,Mix of both English and Urdu,Whiteboard,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Only understand the concepts without noting them down,4,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,Independent study,Late night,7~8 hours,
12,Bioinformatics ,Female,Pakistani,Punjab,7th,MS,Matric,Between 2Lac~3Lac,YES,NO,3,Matric,FSc/ ICS,68.19,79.89,3.32,2.66,3.11,B,3.02,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,3,3,2,2,2,2,2,1,5,5,3,3,3,3,5,5,5,5,5,4,5,3,4,3,3,3,4,3,3,3,3,2,2,2,4,3,4,3,5,3,3,3,Independent study,Late night,3~4 hours,
13,Bio-Sciences,Male,Pakistani,Punjab,7th,Intermediate,Below Matric,Between 1Lac~2Lac,NO,NO,3,Matric,FSc/ ICS,67,63,2.59,2.01,2.4,D,2.33,D,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,3,3,3,2,2,2,3,2,2,2,1,4,3,4,3,4,3,4,2,3,2,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,2,4,4,3,4,4,3,Independent study,Day time,5~6 hours,
14,Bioinformatics ,Female,Pakistani,Sindh,7th,BS,Below Matric,Between 1Lac~2Lac,YES,NO,4,Matric,FSc/ ICS,80,84.8,2.9,2.84,2.7,C,2.81,C,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,3,1,1,1,3,2,1,1,2,4,5,1,3,2,3,4,3,4,3,2,3,5,3,4,2,4,3,3,4,3,4,4,4,3,3,4,3,4,3,4,3,5,4,Independent study,Late night,3~4 hours,
15,Software engineering ,Female,Pakistani,Punjab,6th,BS,Intermediate,Between 2Lac~3Lac,YES,YES,5,Matric,FSc/ ICS,95.18,95.63,3.68,3.72,3.69,A,3.70,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,2,2,3,4,2,2,4,2,2,4,2,2,2,4,2,3,4,3,4,3,4,4,3,4,Independent study,Late night,1~2 hours,
16,Computer Science,Male,Pakistani,Punjab,6th,PhD/ Doctor,BS,Above 3Lac,NO,NO,4,Cambridge,A-Level,82,87,3.37,3.63,3.52,A,3.51,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,3,1,3,3,4,2,2,2,2,1,1,4,4,4,5,5,5,5,5,2,2,5,2,4,5,4,2,2,5,5,2,2,5,1,1,4,1,5,1,2,1,1,1,Independent study,Late night,1~2 hours,
17,Computer Science,Female,Pakistani,Punjab,6th,BS,BS,Between 2Lac~3Lac,YES,NO,4,Matric,FSc/ ICS,93.77,95.23,3.53,3.5,3.81,A,3.61,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Last row,1 hour,Male instructor,Not more than 30,I take notes during lecture,3,3,5,4,2,2,2,2,1,1,5,5,5,5,5,2,2,2,5,5,4,4,3,4,1,5,5,5,3,3,3,3,3,3,3,3,2,5,3,5,5,5,5,Independent study,Day time,3~4 hours,
18,Software Engineering,Female,Pakistani,KPK,6th,Intermediate,Intermediate,Below 30K,NO,YES,1,Matric,FSc/ ICS,93,83,3.53,3.56,3.19,B,3.43,B,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,2,2,2,2,2,2,2,2,2,4,4,2,4,2,4,5,5,5,5,4,5,5,1,2,1,4,5,4,2,2,4,4,2,4,3,4,2,4,2,2,2,4,5,Independent study,Late night,3~4 hours,
19,Software Engineering,Male,Pakistani,Punjab,6th,MS,Intermediate,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,92.09,90.27,3.79,3.78,3.53,A,3.70,A,Language does not effect my performance,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Male instructor,Not more than 30,Notes taking has no relation with my academic performance,4,4,3,3,3,4,2,4,1,4,4,4,4,4,4,2,2,2,1,1,1,3,4,5,5,5,5,4,4,4,4,2,5,3,5,4,2,4,2,2,4,4,4,Independent study,Day time,3~4 hours,
20,Software Engineering ,Female,Pakistani,Punjab,6th,MS,BS,Between 2Lac~3Lac,NO,NO,5,Matric,FSc/ ICS,95.45,80,3.29,2.89,3.08,B,3.08,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,4,3,2,3,1,1,2,1,2,2,1,1,4,3,4,5,5,5,5,5,5,5,2,4,1,5,4,5,4,4,4,4,5,3,5,5,2,5,5,5,4,4,2,Independent study,Late night,3~4 hours,
21,Software engineering ,Male,Pakistani,KPK,6th,MS,Intermediate,Between 50K~1Lac,NO,NO,3,Matric,FSc/ ICS,95,96,3,3.28,3.08,B,3.12,B,Mix of both English and Urdu,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,3,2,2,2,2,2,2,4,1,2,4,2,2,4,5,5,5,5,5,5,5,5,2,3,2,2,5,5,5,1,5,4,5,4,5,5,3,5,4,5,2,3,2,Independent study,Day time,3~4 hours,
22,Computer Science,Female,Pakistani,Punjab,6th,MS,MS,Between 1Lac~2Lac,YES,YES,2,Matric,FSc/ ICS,87.6,69.9,2.42,2.79,2.2,D,2.48,D,Language does not effect my performance,Mix of both whiteboard and power point,First row,1.5 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,2,2,2,2,2,2,2,2,5,4,4,4,4,4,3,3,3,4,3,2,3,2,2,2,4,2,2,4,3,3,3,3,3,3,4,3,2,4,2,3,2,4,Independent study,Day time,1~2 hours,
23,Computer Science,Female,Pakistani,Punjab,6th,BS,BS,Between 1Lac~2Lac,NO,YES,4,Matric,FSc/ ICS,93.18,97.16,3.76,3.78,3.53,A,3.69,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,3,3,1,1,2,1,1,2,3,3,2,4,4,4,4,3,4,3,4,3,4,3,3,1,4,4,4,2,2,2,4,4,3,4,2,4,4,2,2,4,3,4,Group study,Day time,1~2 hours,
24,Computer Science,Female,Pakistani,Punjab,6th,MS,MS,Between 2Lac~3Lac,NO,NO,5,Matric,FSc/ ICS,95.27,98.9,3.76,3.96,3.92,A,3.88,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,4,2,4,2,2,2,2,2,2,4,4,3,3,3,4,3,3,3,3,2,3,4,2,2,1,2,2,2,4,4,4,4,5,4,4,4,1,5,3,3,2,2,3,Independent study,Late night,5~6 hours,
25,Software Engineering ,Female,Pakistani,Punjab,6th,BS,Matric,Above 3Lac,YES,NO,4,Matric,FSc/ ICS,93.45,97.45,3.85,3.67,3.42,B,3.65,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,1,1,1,2,1,1,2,1,1,4,5,5,5,3,5,4,3,4,5,5,4,5,3,3,3,5,4,4,1,2,1,1,2,1,2,1,4,5,1,3,1,5,4,Independent study,Day time,3~4 hours,
26,Software Engineering ,Male,Pakistani,Sindh,6th,MS,Below Matric,Between 50K~1Lac,NO,NO,4,Matric,FSc/ ICS,90.64,86.54,3.06,3.31,3.14,B,3.17,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,2,3,2,2,2,2,3,1,3,2,5,4,4,4,4,3,4,3,4,4,4,2,3,4,4,3,2,4,4,5,4,4,4,4,4,4,4,2,3,4,4,2,Independent study,Day time,3~4 hours,
27,Computer Science,Male,Pakistani,Punjab,6th,Matric,Intermediate,Between 30K~50K,NO,YES,5,Matric,FSc/ ICS,95,96,3.62,3.92,3.61,A,3.72,A,Language does not effect my performance,Mode of lecture delivery does not effect my performance,Last row,1 hour,Instructor gender does not effect my performance,Not more than 40,Only understand the concepts without noting them down,5,2,3,3,2,3,2,3,1,3,3,4,4,4,4,5,5,5,5,5,5,5,1,1,1,1,3,3,1,1,1,2,3,3,4,3,4,4,3,3,3,3,3,Group study,Late night,1~2 hours,
28,Software engineering ,Male,Pakistani,Punjab,6th,BS,Below Matric,Between 30K~50K,NO,NO,3,Matric,FSc/ ICS,94,92,2.85,2.94,2.11,D,2.64,C,Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,Only understand the concepts without noting them down,1,1,4,1,1,1,1,1,2,5,5,3,2,2,4,2,2,5,2,2,4,4,2,2,2,5,4,4,1,1,1,1,1,1,1,1,4,5,2,2,4,2,2,Group study,Late night,1~2 hours,
29,Computer Science,Female,Pakistani,Federal/ Capital,6th,MS,MS,Between 1Lac~2Lac,NO,NO,5,Cambridge,A-Level,83.72,70.73,2.97,2.81,2.63,C,2.80,C,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,2,3,3,4,2,3,3,5,1,2,5,5,5,4,5,2,3,4,3,4,4,5,3,4,3,5,4,5,5,4,5,3,4,4,5,4,4,4,4,5,5,4,3,Independent study,Late night,3~4 hours,
30,Computer Science,Female,Pakistani,KPK,6th,MS,Intermediate,Between 2Lac~3Lac,NO,NO,4,Matric,FSc/ ICS,92,88,3.44,3.4,3.16,B,3.33,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 30,I take notes during lecture,4,3,4,3,4,4,3,2,1,4,4,5,5,5,5,4,3,4,3,5,4,4,4,4,3,4,4,3,5,4,5,4,4,4,4,4,2,4,3,4,4,4,2,Group study,Late night,7~8 hours,
31,Computer Engineering,Female,Pakistani,Punjab,6th,BS,Matric,Between 1Lac~2Lac,NO,NO,5,Matric,FSc/ ICS,93,94,3.54,3.56,3.69,A,3.60,A,Mix of both English and Urdu,Mix of both whiteboard and power point,Middle row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,3,5,4,3,4,4,4,4,2,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Independent study,Late night,3~4 hours,
32,Software Engineering,Male,Pakistani,Punjab,6th,BS,Intermediate,Between 50K~1Lac,NO,YES,5,Cambridge,FSc/ ICS,87.86,76.78,2.91,2.67,1.92,E,2.50,C,Language does not effect my performance,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,4,2,4,2,5,4,3,2,2,4,3,2,5,4,4,4,5,5,4,5,4,5,2,2,3,4,4,4,4,2,2,4,2,2,3,2,4,5,2,4,4,5,4,Group study,Late night,3~4 hours,
33,Computer Science,Male,Pakistani,Punjab,6th,Matric,Matric,Between 30K~50K,NO,NO,5,Matric,FSc/ ICS,84,79,3.74,3.31,3.33,B,3.46,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,2,2,2,2,2,2,2,2,1,5,3,4,4,4,4,5,5,5,5,5,5,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,3,1,2,4,4,2,Group study,Late night,3~4 hours,
34,Software Engineering ,Male,Pakistani,Punjab,6th,Matric,Below Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,93.72,91.54,3.68,3.33,3,B,3.34,B,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,,Not more than 30,I take notes during lecture,1,4,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,Independent study,Late night,3~4 hours,
35,Software Engineering ,Male,Pakistani,Punjab,6th,Intermediate,Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,89,90,3.29,3.47,3.22,B,3.33,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,1 hour,Male instructor,Not more than 30,Only understand the concepts without noting them down,4,4,2,2,4,4,4,2,1,2,5,4,2,5,5,5,4,4,5,2,4,5,2,2,2,5,4,5,2,2,5,1,4,4,4,4,2,5,5,2,2,2,4,Group study,Late night,3~4 hours,
36,Computer Science,Male,Pakistani,Sindh,6th,PhD/ Doctor,Intermediate,Between 50K~1Lac,NO,YES,4,Matric,FSc/ ICS,93.54,95.81,3.3,3.2,3.2,B,3.23,B,Mix of both English and Urdu,Mix of both whiteboard and power point,Sitting place does not effect my performance,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,Notes taking has no relation with my academic performance,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,4,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Day time,1~2 hours,
37,Mathematics,Male,Pakistani,Federal/ Capital,5th,Matric,Matric,Between 30K~50K,NO,NO,4,Matric,FSc/ ICS,66,65,4,4,3.9,A,3.97,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,Duration of lecture does not effect my performance,Instructor gender does not effect my performance,Number of students does not effect my performance,I take notes during lecture,5,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Group study,Day time,3~4 hours,
38,Mathematics,Male,Pakistani,Federal/ Capital,7th,Below Matric,Below Matric,Below 30K,NO,YES,3,Matric,FSc/ ICS,73.3,62.3,3.87,3.58,3.43,B,3.63,A,Mix of both English and Urdu,Mix of both whiteboard and power point,First row,1 hour,Instructor gender does not effect my performance,Not more than 40,I take notes during lecture,5,5,4,5,4,5,4,4,2,3,4,4,4,3,3,5,5,5,5,5,5,3,2,5,3,4,5,3,1,5,5,2,3,3,2,3,4,4,3,3,5,4,3,Independent study,Late night,1~2 hours,
39,Mathematics,Male,Pakistani,Federal/ Capital,7th,Matric,Matric,Between 50K~1Lac,NO,NO,5,Matric,FSc/ ICS,79,72,3.87,4,4,A,3.96,A,Language does not effect my performance,Whiteboard,Last row,1 hour,Male instructor,Not more than 30,Only understand the concepts without noting them down,5,5,5,3,4,2,5,4,1,4,5,4,3,5,3,4,4,4,4,4,3,4,3,4,3,4,4,4,5,5,5,5,4,4,5,5,3,2,3,2,5,5,4,Independent study,Late night,5~6 hours,
